"Name";"SI";"Handles";"VM";"WS";"PM";"NPM";"Path";"Company";"CPU";"FileVersion";"ProductVersion";"Description";"Product";"__NounName";"BasePriority";"ExitCode";"HasExited";"ExitTime";"Handle";"SafeHandle";"HandleCount";"Id";"MachineName";"MainWindowHandle";"MainWindowTitle";"MainModule";"MaxWorkingSet";"MinWorkingSet";"Modules";"NonpagedSystemMemorySize";"NonpagedSystemMemorySize64";"PagedMemorySize";"PagedMemorySize64";"PagedSystemMemorySize";"PagedSystemMemorySize64";"PeakPagedMemorySize";"PeakPagedMemorySize64";"PeakWorkingSet";"PeakWorkingSet64";"PeakVirtualMemorySize";"PeakVirtualMemorySize64";"PriorityBoostEnabled";"PriorityClass";"PrivateMemorySize";"PrivateMemorySize64";"PrivilegedProcessorTime";"ProcessName";"ProcessorAffinity";"Responding";"SessionId";"StartInfo";"StartTime";"SynchronizingObject";"Threads";"TotalProcessorTime";"UserProcessorTime";"VirtualMemorySize";"VirtualMemorySize64";"EnableRaisingEvents";"StandardInput";"StandardOutput";"StandardError";"WorkingSet";"WorkingSet64";"Site";"Container"
"msedge";"2";"249";"2307022880768";"23670784";"8302592";"16720";"C:\Program Files (x86)\Microsoft\Edge\Application\msedge.exe";"Microsoft Corporation";"0.9375";"119.0.2151.58";"119.0.2151.58";"Microsoft Edge";"Microsoft Edge";"Process";"8";;"False";;"3860";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"249";"25048";".";"0";"";"System.Diagnostics.ProcessModule (msedge.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"16720";"16720";"8302592";"8302592";"796760";"796760";"8445952";"8445952";"24670208";"24670208";"675774464";"2307073212416";"True";"Normal";"8302592";"8302592";"00:00:00.3437500";"msedge";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:08:55";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.9375000";"00:00:00.5937500";"625442816";"2307022880768";"False";;;;"23670784";"23670784";;
"msedgewebview2";"2";"345";"3513379291136";"1765376";"54652928";"20896";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\119.0.2151.58\msedgewebview2.exe";"Microsoft Corporation";"0.765625";"119.0.2151.58";"119.0.2151.58";"Microsoft Edge WebView2";"Microsoft Edge WebView2";"Process";"4";;"False";;"4160";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"345";"8392";".";"0";"";"System.Diagnostics.ProcessModule (msedgewebview2.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"20896";"20896";"54652928";"54652928";"765616";"765616";"77361152";"77361152";"105508864";"105508864";"-2001907712";"3515576307712";"True";"Idle";"54652928";"54652928";"00:00:00.1562500";"msedgewebview2";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/17 23:30:57";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.7656250";"00:00:00.6093750";"96043008";"3513379291136";"False";;;;"1765376";"1765376";;
"msedgewebview2";"2";"309";"2307075338240";"1835008";"12222464";"19472";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\119.0.2151.58\msedgewebview2.exe";"Microsoft Corporation";"4.15625";"119.0.2151.58";"119.0.2151.58";"Microsoft Edge WebView2";"Microsoft Edge WebView2";"Process";"8";;"False";;"4068";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"309";"10332";".";"0";"";"System.Diagnostics.ProcessModule (msedgewebview2.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"19472";"19472";"12222464";"12222464";"779192";"779192";"19722240";"19722240";"36184064";"36184064";"772272128";"2307169710080";"True";"Normal";"12222464";"12222464";"00:00:02.1562500";"msedgewebview2";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:13:06";;"System.Diagnostics.ProcessThreadCollection";"00:00:04.1562500";"00:00:02";"677900288";"2307075338240";"False";;;;"1835008";"1835008";;
"msedgewebview2";"2";"177";"2306961887232";"0";"8822784";"13864";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\119.0.2151.58\msedgewebview2.exe";"Microsoft Corporation";"0.328125";"119.0.2151.58";"119.0.2151.58";"Microsoft Edge WebView2";"Microsoft Edge WebView2";"Process";"8";;"False";;"4780";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"177";"11536";".";"0";"";"System.Diagnostics.ProcessModule (msedgewebview2.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"13864";"13864";"8822784";"8822784";"712512";"712512";"21614592";"21614592";"33484800";"33484800";"581226496";"2306978664448";"True";"Normal";"8822784";"8822784";"00:00:00.1875000";"msedgewebview2";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:13:06";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.3281250";"00:00:00.1406250";"564449280";"2306961887232";"False";;;;"0";"0";;
"msedgewebview2";"2";"628";"3513542959104";"1642496";"154390528";"29328";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\119.0.2151.58\msedgewebview2.exe";"Microsoft Corporation";"53.265625";"119.0.2151.58";"119.0.2151.58";"Microsoft Edge WebView2";"Microsoft Edge WebView2";"Process";"4";;"False";;"3792";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"628";"12656";".";"0";"";"System.Diagnostics.ProcessModule (msedgewebview2.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"29328";"29328";"154390528";"154390528";"1072992";"1072992";"289746944";"289746944";"309821440";"309821440";"357249024";"3513640497152";"True";"Idle";"154390528";"154390528";"00:00:07.8906250";"msedgewebview2";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:13:07";;"System.Diagnostics.ProcessThreadCollection";"00:00:53.2656250";"00:00:45.3750000";"259710976";"3513542959104";"False";;;;"1642496";"1642496";;
"msedgewebview2";"2";"1704";"2307739799552";"2117632";"161898496";"34528";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\119.0.2151.58\msedgewebview2.exe";"Microsoft Corporation";"18.296875";"119.0.2151.58";"119.0.2151.58";"Microsoft Edge WebView2";"Microsoft Edge WebView2";"Process";"10";;"False";;"4196";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1704";"16432";".";"0";"";"System.Diagnostics.ProcessModule (msedgewebview2.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"34528";"34528";"161898496";"161898496";"1338808";"1338808";"246267904";"246267904";"167530496";"167530496";"1598410752";"2307995848704";"True";"AboveNormal";"161898496";"161898496";"00:00:06.6093750";"msedgewebview2";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:13:06";;"System.Diagnostics.ProcessThreadCollection";"00:00:18.2968750";"00:00:11.6875000";"1342361600";"2307739799552";"False";;;;"2117632";"2117632";;
"msedgewebview2";"2";"1277";"2342099525632";"6184960";"41664512";"53800";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\119.0.2151.58\msedgewebview2.exe";"Microsoft Corporation";"11.40625";"119.0.2151.58";"119.0.2151.58";"Microsoft Edge WebView2";"Microsoft Edge WebView2";"Process";"8";;"False";;"3880";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"1277";"17720";".";"0";"";"System.Diagnostics.ProcessModule (msedgewebview2.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"53800";"53800";"41664512";"41664512";"1178584";"1178584";"62816256";"62816256";"114548736";"114548736";"1603637248";"2342360813568";"True";"Normal";"41664512";"41664512";"00:00:07.2031250";"msedgewebview2";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:13:06";;"System.Diagnostics.ProcessThreadCollection";"00:00:11.4062500";"00:00:04.2031250";"1342349312";"2342099525632";"False";;;;"6184960";"6184960";;
"msedgewebview2";"2";"154";"2272254222336";"7958528";"2183168";"10872";"C:\Program Files (x86)\Microsoft\EdgeWebView\Application\119.0.2151.58\msedgewebview2.exe";"Microsoft Corporation";"0.046875";"119.0.2151.58";"119.0.2151.58";"Microsoft Edge WebView2";"Microsoft Edge WebView2";"Process";"8";;"False";;"4144";"Microsoft.Win32.SafeHandles.SafeProcessHandle";"154";"18620";".";"0";"";"System.Diagnostics.ProcessModule (msedgewebview2.exe)";"1413120";"204800";"System.Diagnostics.ProcessModuleCollection";"10872";"10872";"2183168";"2183168";"122432";"122432";"2351104";"2351104";"8867840";"8867840";"266854400";"2272304553984";"True";"Normal";"2183168";"2183168";"00:00:00.0312500";"msedgewebview2";"4095";"True";"2";"System.Diagnostics.ProcessStartInfo";"2023/11/16 7:13:06";;"System.Diagnostics.ProcessThreadCollection";"00:00:00.0468750";"00:00:00.0156250";"216522752";"2272254222336";"False";;;;"7958528";"7958528";;
"MsMpEng";"0";"1127";"2204529897472";"253026304";"345763840";"129248";;;;;;;;"Process";"8";;;;;;"1127";"5576";".";"0";"";;;;;"129248";"129248";"345763840";"345763840";"647656";"647656";"957431808";"957431808";"857088000";"857088000";"1569103872";"2204887326720";;;"345763840";"345763840";;"MsMpEng";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"1211674624";"2204529897472";"False";;;;"253026304";"253026304";;
"net_updater32";"0";"812";"354029568";"85237760";"54038528";"62096";;;;;;;;"Process";"8";;;;;;"812";"3156";".";"0";"";;;;;"62096";"62096";"54038528";"54038528";"525280";"525280";"56627200";"56627200";"89866240";"89866240";"368455680";"368455680";;;"54038528";"54038528";;"net_updater32";;"True";"0";"System.Diagnostics.ProcessStartInfo";;;"System.Diagnostics.ProcessThreadCollection";;;"354029568";"354029568";"False";;;;"85237760";"85237760";;
